title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
tm54450;Christine;MOVIE;1983;R;90;['horror', 'thriller', 'european'];['US'];tt0085333;67;809450;0
tm2386;A Nightmare on Elm Street;MOVIE;1984;R;91;['horror'];['US'];tt0087800;74;2305430;0
ts22082;Knight Rider;SHOW;1982;TV-PG;51;['action', 'scifi', 'crime', 'drama'];['US'];tt0083437;69;337600;40
tm145608;Awakenings;MOVIE;1990;PG-13;120;['drama', 'european'];['US'];tt0099077;78;1375490;0
ts21715;Thomas & Friends;SHOW;1984;TV-Y;10;['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama'];['GB'];tt0086815;65;49480;240
tm41289;Annie;MOVIE;1982;PG;127;['drama', 'family', 'comedy'];['US'];tt0083564;66;448660;0
tm132694;Pet Sematary;MOVIE;1989;R;103;['horror', 'fantasy', 'thriller'];['US'];tt0098084;65;1022120;0
ts20678;Saved by the Bell;SHOW;1989;TV-G;23;['comedy', 'romance', 'family'];['US'];tt0096694;71;348540;50
tm117580;She's Gotta Have It;MOVIE;1986;R;84;['comedy', 'romance'];['US'];tt0091939;67;142770;0
tm20712;Eddie Murphy Raw;MOVIE;1987;R;93;['comedy', 'documentation'];['US'];tt0092948;76;196460;0
tm130586;Endless Love;MOVIE;1981;R;116;['drama', 'romance'];['US'];tt0082329;49;83740;0
ts25028;Wheel of Fortune;SHOW;1983;TV-G;26;['family'];['US'];tt0072584;67;31260;390
ts23753;Major Dad;SHOW;1989;TV-PG;24;['comedy', 'family'];['US'];tt0096643;64;28660;40
ts2760;Fireman Sam;SHOW;1987;TV-Y;10;['comedy', 'animation', 'family', 'crime', 'european'];['GB'];tt0329829;61;17590;130
ts987;Danger Mouse;SHOW;1981;TV-Y;15;['comedy', 'family', 'scifi', 'animation', 'european'];['GB'];tt0081848;74;35140;100
tm125985;Mobile Suit Gundam II: Soldiers of Sorrow;MOVIE;1981;Unknown;133;['scifi', 'drama', 'war', 'animation', 'action'];['JP'];tt0159510;72;12420;0
tm40103;Mobile Suit Gundam: Char's Counterattack;MOVIE;1988;Unknown;120;['scifi', 'animation', 'action', 'drama', 'war'];['JP'];tt0095262;73;16490;0
tm21953;Sam Kinison: Breaking the Rules;MOVIE;1987;R;50;['comedy', 'documentation'];['US'];tt0307403;72;6510;0
tm152839;Tim Allen: Men Are Pigs;MOVIE;1990;Unknown;30;['comedy', 'documentation'];['US'];tt0259057;60;3530;0
tm62924;Monty Python Live at the Hollywood Bowl;MOVIE;1982;R;77;['comedy', 'documentation'];['GB'];tt0084352;79;151860;0
tm114356;The George McKenna Story;MOVIE;1988;Unknown;100;['drama'];['US'];tt0091106;60;9010;0
tm147829;Unspeakable Acts;MOVIE;1990;Unknown;100;['drama'];['US'];tt0100848;60;4480;0
tm126769;Waiting for the Hearse;MOVIE;1985;Unknown;87;['comedy'];['AR'];tt0089108;80;62850;0
tm49037;Mobile Suit Gundam III: Encounters in Space;MOVIE;1982;Unknown;144;['animation', 'action', 'drama', 'scifi', 'war'];['JP'];tt0159511;77;12100;0
